Name AP,Time,Frekuensi (Ghz),Clients,Channels,Configured Rate,Usage Traffic (GB),Throughput (KB),Transmit Power( dBm),Noise,Channel Utilization,Interference,Traffic,Air Quality
AP-F1-1-1-3-R.105,1000,2.4,1,13,Min 1 Mbps. Max  289 Mbps,12,1,17,-94,0.16,0.1,0.06,0
AP-F1-1-1-3-R.105,1000,5,0,149,Min 6 Mbps. Max  289 Mbps,18,0.89,20,-92,0.05,0.05,0,0
AP-F1-1-1-3-R.105,1010,2.4,1,13,Min 1 Mbps. Max  289 Mbps,12,8,17,-94,0.2,0.14,0.06,0
AP-F1-1-1-3-R.105,1010,5,0,149,Min 6 Mbps. Max  289 Mbps,18,2,20,-92,0.05,0.05,0,0
AP-F1-1-1-3-R.105,1020,2.4,2,13,Min 1 Mbps. Max  289 Mbps,12,0.47,17,-94,0.21,0.11,0.1,0
AP-F1-1-1-3-R.1051020,5,0,149,Min 6 Mbps. Max  289 Mbps,18,2,20,-92,0.05,0.05,0,0
AP-F1-1-1-3-R.105,1030,2.4,1,13,Min 1 Mbps. Max  289 Mbps,13,4,17,-94,0.16,0.1,0.06,0
AP-F1-1-1-3-R.105,1030,5,0,149,Min 6 Mbps. Max  289 Mbps,18,1,20,-92,0.05,0.05,0,0
AP-F1-1-1-3-R.105,1040,2.4,1,13,Min 1 Mbps. Max  289 Mbps,13,7,17,-94,0.16,0.1,0.06,0
AP-F1-1-1-3-R.105,1040,5,0,149,Min 6 Mbps. Max  289 Mbps,18,1,20,-92,0.07,0.07,0,0
AP-F1-1-1-3-R.105,1050,2.4,2,13,Min 1 Mbps. Max  289 Mbps,13,5,17,-94,0.17,0.11,0.06,0
AP-F1-1-1-3-R.105,1050,5,0,149,Min 6 Mbps. Max  289 Mbps,18,3,20,-92,0.06,0.06,0,0
